,標題,版主,日期,時間,觀看數,留言
867,【心得】血鬼內戰的一些思路,abcs4587888,09/30,09:40,2289,11
868,【攻略】Quest：萊昂三成就牌組,lovelyslowly,09/30,03:40,3958,23
869,【心得】主戰者好難抽…,s29589835,09/30,03:04,2725,10
870,【討論】動畫主角,gn01624593,09/29,22:09,1409,14
871,【已知用火】中級盤面解謎有送主題牌組兌換券,satora42,09/29,20:35,2908,8
872,本討論串已無文章,abyss233,09/29,19:36,203,10
873,【問題】關於新土印？,tmpss90276,09/29,19:03,2843,15
874,【攻略】中級 高級 盤面解謎,hiromashima,09/29,18:50,5387,17
875,【小說二創】闇影詩章二創小說-霸者之戰KS(9/29完結),rtmax,09/29,17:29,6954,27
876,【情報】勝利女神站在我這邊 萊昂 認輸吧,A0935861377,09/29,16:22,2424,6
877,【閒聊】Ｑuest高級路希犽解成就時別敲太大力,Dontpokeme,09/29,15:17,2470,12
878,【心得】Quest 為忙碌人所製作,gene801023,09/29,13:53,2162,5
879,【攻略】QUEST解答 中級比高級難,randomdoor,09/29,13:29,3452,17
880,【閒聊】「跟新」（勸退）這版是別想用龍族爬分了,qwe50188,09/29,10:33,10k,56
881,首篇已刪,hayashitn,09/29,01:19,2118,12
882,首篇已刪,hayashitn,09/28,23:28,6225,27
883,【問題】阿麗雅妖有什麼辦法可以解暗黑帝王阿,Laurelyoland,09/28,16:38,5426,20
884,【閒聊】單純分享進化仇套牌，加了那張創造物之後變很強,jemmy111110,09/28,15:03,2280,10
885,本討論串已無文章,Emiya1526,09/28,09:39,68,1
886,【情報】新版本的暫用卡包兌換,lynia,09/28,06:54,4935,7
887,【討論】（塗鴉）亞里莎,oomantoyu,09/27,22:54,699,0
888,【閒聊】卡片故事扯上動畫是不是很可惜?,ey98665,09/27,22:31,1628,2
889,【其他】靈魂嚮導艾米,Serikaonoe,09/27,17:42,3869,10
890,【問題】更新完有夠卡( ･᷄ὢ･᷅ ),keller831208,09/27,16:19,1618,3
891,【情報】第22彈卡包《超越災禍者 Dawn of Calamity》情報公開(全卡公開),dancougar,09/27,12:22,167k,87
892,【閒聊】關於本次的卡片介紹,s511203,09/26,23:06,5572,12
893,【閒聊】試組一套新版本跳費龍,IANfan891112,09/26,16:27,2274,4
894,【討論】新版本莫諾組牌討論（官方好像完全沒有要救的意思,m03k15g19,09/26,16:17,2068,7
895,【問題】關於新的1費中立護符效果,ethanlin1212,09/26,13:00,2146,6
896,【情報】SV的導遊,Kokog11,09/26,12:33,5190,15
897,【討論】《物語重歸》【復仇者】職業相關討論串,etuankonechi,09/25,21:36,8080,9
898,【問題】已解決！ （這篇留著吧以後一定有一樣問題的人）請問steam裡的點數怎麼儲到遊戲裡,eric110192,09/25,21:19,1160,14
899,首篇已刪,hayashitn,09/25,21:15,1500,13
900,本討論串已無文章,qwert7410100,09/25,17:51,28,1
901,【問題】葬送死靈牌組請益(無限制),lutingyu0101,09/25,17:42,3020,18
902,【攻略】RSC無限制全程謝幕曲死GM簡單心得,lutingyu0101,09/25,07:33,2786,20
903,【閒聊】【打牌靠賽，輕鬆自在】無限制娛樂佐伊,QLOKOHO,09/24,16:57,1212,1
904,【問題】《求牌》無限制 無限佐伊龍,QLOKOHO,09/24,16:43,2450,65
905,【閒聊】指定GM-協作鐵腕(10/3更新5連勝戰績),a9985877,09/24,15:39,6057,19
906,【閒聊】「不是強度的問題，是心情的問題要你改弱」遊戲(截止),kmp369572ac,09/23,12:57,10k,14
907,【繪圖】拜迪先生沒有輸!!,jeff60316377,09/21,21:06,11k,41
908,【閒聊】粗口絕傑,a3737795,09/21,21:02,4023,8
909,【心得】把石板還來,Leo20020704,09/21,19:51,2412,4
910,【討論】幫各位沒看動畫的，整理其中值得一看的集數,a3899962a,09/21,18:34,7698,48
911,本討論串已無文章,patrick40319,09/21,10:55,113,4
912,【心得】精靈新虹卡【璀璨妖精】定位分析，組牌方向，以及現有的妖精疾馳直傷選項比較,etuankonechi,09/21,03:30,6364,32
913,首篇已刪,hayashitn,09/20,20:50,492,2
914,【問題】關於特典序號,a3737795,09/20,18:09,1681,6
915,【問題】請問新手皇家要怎麼組,Eric07239768,09/20,16:54,625,0
916,【討論】璀璨妖精偏弱，但有一定的可行性   (論以妖精為主軸的套牌),asssasssas,09/20,10:50,4691,59
917,【討論】打輸遊戲就跳GAME,kirby0428,09/19,18:08,2956,33
918,【問題】高級通行證,yoyox,09/18,09:19,1804,2
919,【討論】Strategy Pick Cup Vol.2 可選擇卡片公開,efgi2,09/16,21:39,6091,27
920,【問題】回鍋問題,zyy31586465,09/15,16:49,2023,20
921,【問題】Strategy pick 私人對戰,jerry881026,09/15,13:06,3784,26
922,【問題】無限制創物仇對上主教問題,blue45564518,09/15,03:18,2716,8
923,【心得】用自然拜迪龍上GM,kurumi1104,09/14,15:28,2342,9
924,【問題】GM獎勵,kinjitohyana,09/13,19:18,3456,29
925,本討論串已無文章,lion2701,09/13,15:34,606,5
926,【心得】無限制撤退皇牌組及心得分享~新增單牌分析、反制攻略及對戰影片,a23977096,09/13,14:53,4723,21
927,【心得】決賽5連勝！謝幕曲死，牌組分享,ssss91268sss,09/11,15:46,2794,6
928,【討論】《物語重歸》【皇家護衛】職業相關討論串,Lsdon,09/10,19:07,6200,12
929,【問題】邊獄的惡鬼 入場曲 問題,maskdance11,09/10,11:12,2025,12
930,首篇已刪,hayashitn,09/10,07:39,1762,12
931,【問題】伊莎貝爾，是不是法術版的黑叔叔?,oc19880228,09/09,23:25,3618,29
932,【閒聊】「雖然進化那隻都一樣，但我想進化這張」遊戲(遊戲截止),poillookk,09/09,14:38,7509,23
933,【心得】有關4Gamers辦STO有多爛的這檔事,kevin72035,09/09,13:42,2367,1
934,【心得】STO 2021 S1 心得,SuperGamer,09/06,12:01,3980,14
935,【問題】新手請教 官方挑選指定系列的標準?,A29653901,09/05,18:21,4498,18
936,【問題】大家好不覺得卡片改來改去很煩嗎?,efgi2,09/04,20:57,4784,38
937,【問題】求推薦的日本頻道或網站,Wuyi0135,09/04,15:03,2076,13
938,【討論】《物語重歸》【精靈】職業相關討論串,Lsdon,09/04,12:38,4526,7
939,【其他】無限制復仇者太OP,joke5555,09/03,21:31,12k,216
940,【心得】終於上gm了,z11235813213,09/03,19:25,2929,16
941,【問題】存遺的女神要怎麼殺死？,Zxc798012,09/02,15:23,8788,48
942,【討論】 [指定模式] otk牌組中不太被人注意但效果超模的非傳說卡(文長注意),wayne1210,09/01,21:19,3471,42
943,首篇已刪,hayashitn,09/01,12:06,692,3
944,本討論串已無文章,Tan39773977,09/01,12:03,9,0
945,首篇已刪,hayashitn,09/01,01:48,983,3
946,【心得】DLC後GM0~1分段，指定區勝率70%+ 協作皇,Dontpokeme,08/30,07:10,2887,7
947,【繪圖】讓世界感受痛苦吧,jeff60316377,08/29,21:56,8608,28
948,【討論】《物語重歸》【龍族】職業相關討論串,tree4576113,08/29,10:01,3770,4
949,【心得】GM段位8連勝，30戰20勝，強攻遺存教,willywilly12,08/29,01:15,7419,24
950,"【閒聊】我覺得肯定是Cy,覺得沒問題",wakeinnine86,08/28,21:03,10k,95
951,【問題】[無限制環境] 魚丸好用嗎?,UFO3366,08/28,08:34,4064,12
952,【討論】《物語重歸》【巫師】職業相關討論串,scott910706,08/27,01:01,10k,14
953,【情報】比賽資訊 ISC tourament#1,RSI8624229,08/25,00:10,1078,2
954,【問題】金色寶箱不會出現,b39398895,08/24,22:26,3334,21
955,【心得】新手入坑，便宜快攻死靈從0開始爬到A0小小心得，順便求有緣人體檢,opbiglaba,08/24,16:19,9495,19
956,【心得】復仇?狂亂?渴望?小孩子才選擇 我全都要,dogdoggod,08/24,02:01,3861,33
957,【討論】神偉仇是不是版本初護符教的復刻版?,heigo0123,08/24,01:52,3027,31
958,【心得】勝率高達9成的機械仇,helo,08/23,11:27,13k,101
959,本討論串已無文章,qwert122,08/22,23:30,126,0
960,【閒聊】SV裡大家最喜歡的牌組是什麼？,tyui788,08/22,19:16,16k,73
961,【討論】主教遺存的榮光 指定《守護遺存教》（偏娛樂）更：《消失遺存教》,ktsugumi,08/22,18:24,6921,50
962,【討論】《物語重歸》【死靈法師】職業相關討論串,karta1192111,08/22,15:05,8368,16
963,【攻略】DLC後重返榮耀 七類增幅巫上分心得與攻略,a6124136,08/22,00:26,5982,23
964,【討論】《物語重歸》【吸血鬼】職業相關討論串,qwer11319,08/21,17:49,5036,4
965,【問題】【sw霸者之戰】觸控設定,sugira,08/21,12:14,845,3
966,【問題】無限制熾天使主教,asssasssas,08/20,08:35,2180,7
967,【曬卡】第21彈卡包《物語重歸》 卡包分享串,Lullaby101,08/20,01:23,11k,68
968,【問題】新手入坑?,game4623,08/20,00:16,6023,33
969,【攻略】【24/7大賽優勝】你以爲我是充能法嗎？其實是增幅半數法啦！【新增DLC后預測構築】,Lsdon,08/19,21:38,21k,215
970,【問題】回歸原本帳號 or 直接買資源號,freddy60813,08/19,17:52,5839,31
971,【情報】第21彈卡包《物語重歸》追加卡情報公開(全數公開),godmoon88420,08/19,12:33,77k,37
972,【攻略】【Anti-meta】反護符教型機械-共鳴-寬容仇 （九樓DLC預測構築）,Lsdon,08/19,12:13,16k,55
973,【情報】2500萬下載突破紀念活動公告,Lullaby101,08/19,08:41,4109,4
974,【閒聊】《驗證》絲碧涅創造物的動畫時間，有辦法讓對手看到連線中斷嗎?,fzw1222,08/19,08:37,2739,6
975,【公告】 公會以及遊戲群組 招生公告一律發群組招生子版,wty12345y,08/18,13:04,1538,7
976,本討論串已無文章,Yutilien0606,08/18,03:24,122,6
977,【心得】一個剩下兩天才發機械死攻略文的小87,zxc49348916,08/17,04:08,2952,16
978,【問題】請問該如何組龍/妖精？,diblexd,08/16,18:03,2032,35
979,【情報】8月19日維修後卡牌能力變更・調整,IANfan891112,08/16,16:38,12k,42
980,【問題】怎麼解除安裝阿(電腦),ThiefOrg,08/14,08:59,2013,3
981,【問題】請問這是什麼,ThiefOrg,08/14,08:56,4293,14
982,【問題】見圖,A0935861377,08/13,21:33,3158,7
983,【討論】大賽「RSC 無限制盃」A組 分享串,starshadow23,08/12,22:33,14k,82
984,【閒聊】我把命運諸神裡面的塔羅牌帶到現實來玩了,hayashitn,08/12,19:17,8090,27
985,【心得】無限制控妖~心得兼請益,willywebi,08/10,16:20,2301,18
986,【討論】JCG Shadowverse大會 牌組,kuoyipong,08/08,22:28,10k,14
987,【繪圖】詠讚的狂魔像‧壹米納,jeff60316377,08/07,23:39,7342,20
988,【問題】 關於指定謝幕死靈的打法(階級A1)與疑惑，請求死靈高手教學,henry0731,08/07,21:53,3587,21
989,首篇已刪,hayashitn,08/07,16:02,2311,33
990,本討論串已無文章,xyz3901,08/07,12:28,67,0
991,【閒聊】熾天使有戲嗎,ArthurKao818,08/06,20:41,4571,30
992,【問題】遊戲資源（特效、BGM）求助,Vice1412,08/06,16:56,1747,6
993,【情報】麵包盃#4,sf329sf329,08/05,21:09,756,0
994,【問題】GM進階賽制,Jacky0798592,08/05,20:37,1443,3
995,【閒聊】大家遇到這種人會做什麼事,tin56278,08/05,17:34,6860,22
996,本討論串已無文章,dodo930629,08/05,08:43,69,0
997,【問題】回鍋玩家 想問現在的環境可以玩什麼快攻,ck40292,08/05,01:03,1917,24
998,【閒聊】超越法被新手預設牌組虐爛｜世界奇觀,GOdeilla,08/04,18:51,5920,16
999,本討論串已無文章,eric110192,08/03,18:17,66,3
1000,【心得】【無限制】那個被遺忘而且有點弱的體系 雷維翁皇家GM分享,ToyosakiAki,08/02,06:34,3869,14
1001,【情報】舉辦大賽「RSC 無限制盃」公告,qwert7410100,08/01,22:48,928,0
1002,【其他】狂鬪龍奧義：七火八烈,hayashitn,08/01,20:33,2328,12
1003,【討論】關於環境中的上位互換卡片,WuJhin9186,08/01,14:31,7169,49
1004,【討論】主線：暗黑世界篇－最終章－，芙洛潔思可愛，芙洛潔思讚讚,J99114,08/01,13:21,8898,47
1005,【情報】麵包盃#3,ucuc8394,08/01,02:40,1074,1
1006,本討論串已無文章,a9985877,08/01,00:23,18,0
1007,【問題】有什麼牌組能康特撤退皇,hansoneric,07/30,16:15,13k,193
1008,【心得】無限制骸王GM,deh8ha,07/30,15:17,3775,16
1009,【心得】趁改版前偷偷上個GM-無限制RSC自殘吸血鬼攻略(7/30更新，魔狼解三與各職Buff的心得),Lullaby101,07/30,14:16,6557,103
1010,【攻略】(7/30二樓新增武尊)無限制天門岳父: 爽感與強度兼具 撐到T6 autowin,huah2627,07/30,14:06,3994,17
1011,【閒聊】社會我娜姐,love0zxc,07/29,17:53,5553,23
1012,【閒聊】暗黑世界篇 劇情討論與雜談 【有雷慎入！】,lala92876,07/29,17:02,4527,19
1013,本討論串已無文章,SuperGamer,07/29,17:00,8,0
1014,【心得】『悠久緋紅，原初之一』牌組的一切只為了奉獻給莫諾而存在,lotusasuna,07/28,23:30,10k,47
1015,【討論】喜不喜歡種Ｏ體系的玩法？,etuankonechi,07/28,16:20,4444,19
1016,本討論串已無文章,kdbdenny,07/28,11:54,2287,11
1017,【閒聊】皇家會不會太多,shedba,07/28,00:37,3319,10
1018,首篇已刪,hayashitn,07/27,22:20,1424,7
1019,【閒聊】這版吸血鬼真的太OP,z11235813213,07/27,20:00,6573,34
1020,本討論串已無文章,x0614hsiang,07/26,14:18,24,0
1021,【情報】7月29日配合版本更新實施伺服器維護&卡牌能力調整,hayashitn,07/26,14:18,9470,68
1022,本討論串已無文章,cnsmin,07/26,12:32,20,0
1023,【心得分享】莫名強的RSC指定增幅半數法,bigcat1217,07/26,05:48,13k,49
1024,【問題】想問指定無限千名萬名的分數,henry0731,07/25,22:48,1425,10
1025,【討論】大賽「RSC 指定系列盃」A組/A組決賽 分享串,gowofmath666,07/25,22:38,24k,137
1026,【心得】享樂不難，贏牌很難。,s511203,07/25,17:31,3321,13
1027,【心得】他玩毒瘤啦,tony430,07/24,08:29,10k,79
1028,【問題】關於命運反逆篇的問題,shentai40,07/23,15:15,1558,12
1029,【問題】關於謝幕死的一些問題,c24322561,07/22,22:01,1860,9
1030,【問題】請問繪師,hayashitn,07/22,14:16,3788,13
1031,【問題】有沒有哪一副牌組是克制半數法？？,Lsdon,07/22,13:26,3481,18
1032,【閒聊】難道對面牌組是最新型主教套路!!!???,lok025,07/22,03:34,2353,3
1033,【情報】2021 麵包杯 #2,ucuc8394,07/22,02:42,1207,1
1034,【心得】<物語重歸>臉皇GM分享,davidzhen,07/22,00:44,8146,20
1035,【閒聊】我在試圖幫空奏天找出路,jemmy111110,07/21,23:20,1216,6
1036,【討論】好耶，遇到Bug了,sdf251248949,07/21,19:22,1551,8
1037,【問題】想問一下關於卡包主戰者的問題,mono0312,07/21,15:32,3031,11
1038,【其他】無限制精靈,Zafkiel,07/20,04:02,1959,5
1039,【圭廢文】論毒瘤,aa870825,07/18,18:39,13k,44
1040,【問題】想請教一下,saberxr,07/18,14:12,2161,7
1041,【問題】關於蕾米爾是否可以被指定破壞？(已解答),AtheistKT,07/17,20:12,2721,9
1042,【攻略】Shadowverse通行證經濟學(官方回覆更新),gankrock,07/17,13:53,9496,62
1043,首篇已刪,Liujohnny,07/17,09:26,1047,1
1044,【心得】無限制岳父仇,richard07628,07/16,21:55,2016,9
1045,本討論串已無文章,gn01738759,07/15,20:50,151,10
1046,【問題】新手討教，想入坑,willie990316,07/15,19:09,4555,48
1047,本討論串已無文章,eric110192,07/15,17:41,65,7
1048,首篇已刪,hayashitn,07/15,13:36,564,1
1049,首篇已刪,hayashitn,07/15,12:48,441,5
1050,【繪圖】這才是岳父的真正型態,YphoenixY,07/15,03:10,4080,6
1051,【閒聊】真的有人抽中50萬嗎.....,alaen495,07/14,17:56,7209,39
1052,【攻略】新卡包龍族討論版完全沒靈壓Σ(lliдﾟﾉ)ﾉ 主教斷氣當天趕快拿出來爬gm~~(構築在3樓),csps20702,07/14,04:29,2591,10
1053,【心得】分享自己做的Excel簡易戰績表,s9248555,07/13,22:44,1301,2
1054,【閒聊】分享有趣的表情對話,rtmax,07/13,22:41,1093,2
1055,【心得】自然皇13連勝，直接衝上GM,ssss91268sss,07/13,17:17,2540,9
1056,首篇已刪,hayashitn,07/13,14:56,366,1
1057,【情報】7/13下午兩點小愛的新版本初體驗,akabaneai,07/13,13:17,766,0
1058,【討論】《物語重歸》【主教】職業相關討論串,s126133783,07/13,10:37,3294,5
1059,本討論串已無文章,eric110192,07/13,01:34,326,2
1060,【閒聊】分享一下對局中的天譴手牌,q2541306,07/11,22:06,3371,22
1061,【討論】連勝牌組,kuoyipong,07/11,21:25,4666,22
1062,【心得】不是我在唬爛 那個奶真的超大的--自然進化神魚龍族 7/11更新實戰影片與當日對局,jason1344,07/11,21:12,9383,53
1063,【心得】來給莫諾和壞天摸一下-指定快攻吸血鬼（娛樂牌）,zxc19961116,07/11,18:53,9877,22
1064,【情報】麵包邀請賽 正賽,ificanfly123,07/11,18:42,1533,3
1065,【心得】【RSC指定制】拉緹卡補習班開課!!完整公式化介紹-集大成妖分享(牌組新增:提速T7斬殺),andy40303,07/11,17:52,21k,147
1066,【心得】(娛樂牌)是男人就要開車 開車皇,dogdoggod,07/11,13:06,2181,9
1067,本討論串已無文章,u14128,07/11,00:04,75,0
1068,【心得】又上文了！這次是如何對抗進化巫w,tin56278,07/10,09:07,4271,49
1069,【問題】想請問肅清之器梅希亞這張卡的問題,collapse54,07/10,00:29,3211,15
1070,【討論】論指定各職業的755,dogdoggod,07/09,20:59,3072,15
1071,【問題】關於官方正式比賽相關詢問,ba6657,07/09,20:52,1191,13
1072,【閒聊】下班實況，奶圖能否聚人心,Astraea2,07/09,17:57,1256,0
1073,【心得】再次在蛋蛋盃創造奇蹟!激奏妖精feat.拉緹卡,wpw88123,07/09,17:30,2763,20
1074,【閒聊】拼圖寄來啦！,a44952354,07/09,13:17,1912,9
1075,【情報】【Anti-meta 牌組分享】我命由我不由版本! 特化反環境激奏妖,Lsdon,07/09,11:31,6790,64
1076,【心得】砍完主教後的機械死上GM心得,bloodcc,07/09,02:18,4284,25
1077,【問題】剛回坑 求解牌組,love1861044,07/08,22:25,1702,4
1078,【問題】剛回坑求解,smpss93333,07/08,19:21,1090,8
1079,【同人文】《花海》尤里亞斯×莫諾,muchuchan,07/08,19:15,984,4
1080,首篇已刪,hayashitn,07/08,17:24,1266,4
1081,"【閒聊】加護神下修後,主教其一上分(娛樂)套路!?",x891023z,07/08,13:49,4326,25
1082,【情報】第21彈卡包《物語重歸》情報公開(全數公開),tavor60127,07/08,08:13,207k,88
1083,【閒聊】閑聊一下 有故意拒絕毒瘤不玩的怪人嗎？,ccccc2229513,07/08,07:31,9271,100
1084,【攻略】【RSC指定制】環境主流之基本觀念,ccccc2229513,07/08,06:20,3716,29
1085,【攻略】[Anti Meta] 反妖精-屏障極光增幅巫師 （三樓追加混沌控制巫）,SuperGamer,07/07,20:25,6662,22
1086,【問題】6open,Jery920731hd,07/07,19:10,1102,3
1087,【攻略】【LTC】安心，信賴，務實的幹頭上分選擇，RSC指定狂亂吸為您服務,Bank0819,07/07,16:46,6564,18
1088,【攻略】【皇家死靈終極對策 新增一鍵移除版面功能】潔淨主教 新環境寵兒,Lsdon,07/07,16:16,6356,86
1089,【閒聊】主教更新後 喵喵叫 要大砍了 那主教要玩甚麼?,s1655147,07/07,12:27,4625,32
1090,本討論串已無文章,Jery920731hd,07/07,12:17,954,5
1091,【攻略】「潛伏於影，狩獵陰影」自然龍單騎GM! 環境自然龍概論解析,gcblastia,07/07,11:34,4507,35
1092,首篇已刪,hayashitn,07/07,11:23,633,2
1093,【情報】物語重歸的第二個主戰,tavor60127,07/07,10:45,5179,6
1094,【情報】卡片平衡【7月7日 13:30 ～ 15:00】伺服器維護公告,corlasu,07/06,18:24,10k,112
1095,【心得】【指定GM】小協作大進擊 純愛皇家玩家分享,fate556696,07/06,16:58,3347,7
1096,【心得】關於龍族如何對抗這季的毒瘤主教,edifier,07/06,15:14,3809,23
1097,【繪圖】各職業限制觀察日記,qq123oo78,07/06,12:40,13k,41
1098,【攻略】【目前勝率過80%】那個蹲完又蹲的男人回來了  帶著一群潛行和疾馳回來了 【載具潛行皇】,Lsdon,07/06,12:26,5201,15
1099,【密技】炸你媽殭屍,Wuyi0135,07/06,09:51,4254,14
1100,【其他】趣事分享 OTK妖錯斬 竟然打到對手出了十天極?!,sh9403112000,07/05,22:11,1664,6
1101,【情報】2021/7/5物語重歸版本卡片調整公告,Lsdon,07/05,17:58,8482,88
1102,【討論】(爽啦被打臉XD)大家都知環境失衡 但我知cy一定不會平衡調整的,yuwingfung83,07/05,16:54,29k,61
1103,【心得】物語重歸  小提點,Lsdon,07/05,15:42,2811,21
1104,【討論】來討論下現在的環境,Berger254,07/05,13:40,6486,217
1105,【問題】為什麼新卡包的虹卡會顯示為舊卡包的卡牌,hayashitn,07/05,12:17,2487,9
1106,【心得】指定環境 - 拉緹卡/異種連擊條件驗證器,jonathantang,07/05,10:20,2386,34
1107,【密技】牌組分享 激奏星爆拉緹卡妖,wishman40404,07/05,02:22,4248,9
1108,【討論】回鍋指定牌組推薦,marcoocean,07/04,22:57,1992,21
1109,【討論】暗黑篇終章上半部（有劇透）,GETYOU0707,07/04,21:47,4105,35
1110,【問題】如果砍了主教還有需要砍妖精嗎？,aa870825,07/04,20:20,2924,14
1111,【閒聊】【整理】盤點那一些救過你無數次的補血牌,Lsdon,07/04,18:19,1869,47
1112,【問題】請問twitch的直播拿卡包活動現在還有嗎？,Jase880715,07/04,12:50,883,4
1113,【心得】皇家也不交流了，指定6Turn爆發皇家(偏娛樂),henry0731,07/04,09:46,3046,1
1114,【問題】版本更新後出卡有時會卡一下,a100940830,07/04,08:38,796,8
1115,【問題】廢卡,cli572013,07/03,14:45,2394,34
1116,【心得】來畫一張里榭娜,death66666,07/03,14:19,2187,6
1117,【圭攻略】天下武功唯快不破！ RSC提速自然皇GM攻略,miku8739,07/03,12:33,5845,40
1118,【問題】回鍋疑問,Lsdon,07/03,09:43,1510,15
1119,【問題】為啥指定的牌組要在無限制玩,Zxc798012,07/03,06:45,3880,20
1120,【心得】指定 協作鐵腕皇 使用心得,jasonmare777,07/03,00:05,7986,22
1121,【心得】【RSC指定制】不協作不進化，自然撤退678皇分享,f56565566,07/02,21:54,4205,11
1122,本討論串已無文章,sdf251248949,07/02,20:22,532,2
1123,【其他】【二創短片】打不倒的拉提卡,Lsdon,07/02,17:10,1453,11
1124,【問題】第一次自己編的龍族和死靈,iandeer0601,07/02,16:19,4471,20
1125,【閒聊】拉提卡連擊精靈斬殺題,ho89609,07/02,14:14,2562,14
1126,【問題】快死是不是重返榮耀了？,frank84921,07/02,11:51,6639,33
1127,首篇已刪,hayashitn,07/02,09:56,853,5
1128,【問題】想找一張卡,J99114,07/02,09:37,5286,61
1129,【心得】✰RSC指定✰ 可以實現夢想的拉緹卡 你值得擁有,Aaron0205,07/02,03:43,2329,26
1130,【問題】請問妖精如何應付一些針對性的牌組,max20020319,07/02,01:20,2418,20
1131,【攻略】版本解答T0：推特最速妖精GM，阿莉雅星爆異種連擊妖,Bear42,07/01,21:18,14k,27
1132,【問題】關於這版妖精打主教,peterwang15,07/01,19:18,3176,21
1133,【問題】碧藍幻想有關的角色故事,fly20640162,07/01,17:07,1664,12
1134,【問題】無限制吸血鬼牌組,Zxc798012,07/01,10:37,1574,6
1135,【心得】無限制t5星爆妖,Ajadalintw,07/01,01:02,4401,8
1136,【討論】大家心中各職業好看的主戰者造型,s1234567,06/30,15:53,18k,71
1137,【心得】打拉提卡連擊時的注意事項,a21962253,06/30,14:11,3063,15
1138,【心得】十二連擊妖,scott910706,06/30,13:45,7079,33
1139,【問題】主題牌組哪個值得買?,bboopp610610,06/30,12:16,2382,5
1140,【心得】拉緹卡異種連擊妖,s91351,06/30,00:57,3223,6
1141,本討論串已無文章,gam891,06/30,00:25,854,0
1142,【情報】五週年豪華獎勵第二彈,atr45276,06/30,00:04,15k,40
1143,【心得】6/29 [12連勝] 自然載具龍,andy570203,06/29,22:34,6984,17
1144,【問題】有人無法更新嗎?,dager1234978,06/29,20:50,2289,13
1145,【討論】岳父異畫卡詢問集中串,kaby1024,06/29,19:09,3410,6
1146,【情報】麵包邀請賽 海選,sf329sf329,06/29,19:01,858,0
1147,【討論】暗黑世界未來猜測（有雷）,Kimmyho,06/29,18:57,1494,9
1148,【討論】火焰殭屍有搞頭嗎？,rock20040103,06/29,17:25,3283,15
1149,本討論串已無文章,Masonpenguin,06/29,16:46,1218,5
1150,【閒聊】嗯...真香,Liujohnny,06/29,16:35,3706,4
1151,【情報】好友私人活動注意,xyzera434800,06/29,16:33,2862,7
1152,【情報】新版本的暫用牌組兌換,poinddt,06/29,10:39,15k,25
1153,【心得】特殊勝利 柰芙葬送,ylin0857,06/28,19:42,7555,37
1154,【心得】娛樂牌『較勁龍』,cabd426987,06/28,18:28,2380,10
1155,【情報】這次卡牌故事整理,doratimtim,06/28,17:18,3061,13
1156,本討論串已無文章,tin56278,06/28,17:17,2,0
1157,【閒聊】貝爾佛特的一些想法，還有全部的新卡點評【影片】,ssss91268sss,06/28,16:48,1903,1
1158,【討論】話説九姐妹終於補全了,Lsdon,06/28,15:08,5119,13
1159,【問題】剛回鍋 贈送卡組選誰？,Zxc798012,06/28,14:54,2303,4
1160,【討論】下板精靈出路探討（雲）,Lsdon,06/28,14:09,2052,19
1161,【心得】[牌組分享]被官方放棄的熾天使重新起飛啦!!!~,asssasssas,06/28,08:21,5928,11
1162,【討論】5th Anniversary Cup All-Star 2Pick A組分享串,gnalangnalan,06/28,00:36,12k,74
1163,【心得】改版前祖個進化巫師預習一下(預測下版配置一定改很多),q2541306,06/27,22:16,1522,0
1164,【幼女】抱抱拉緹卡,HeLi01,06/27,21:22,2165,5
1165,【情報】物語重歸 通行證異畫/主戰,Ajadalintw,06/27,21:04,3799,21
1166,【討論】有人大賽從來沒有拿到稱號過嗎？,ym951003,06/27,19:52,4260,37
1167,【情報】6/29 平衡改動,hayashitn,06/27,18:07,13k,17
1168,【問題】回鍋玩家提問,aaaaaaa222d,06/27,17:28,2402,13
1169,首篇已刪,hayashitn,06/27,16:31,472,2
1170,首篇已刪,hayashitn,06/27,14:37,430,2
1171,【討論】五週年主戰者投票結果發表,Stardustz,06/27,12:32,32k,136
1172,本討論串已無文章,qwert7410100,06/27,10:55,52,1
1173,【情報】舉辦大賽「5th Anniversary Cup」與可遊玩特殊形式的期間限定私人對戰公告,Ray407407407,06/27,03:40,5730,17
1174,首篇已刪,hayashitn,06/26,06:41,526,1
1175,剛抽到就要退環境惹QQ,Doowerif,06/26,04:08,399,0
1176,【閒聊】人生突然討厭起皮喵太,a37308718,06/25,20:31,12k,42
1177,【情報】5/20 平衡改動,gi8258,06/25,20:30,16k,44
1178,【問題】All Star 2 Pick 復仇者牌組問題,swimmingoo,06/25,10:35,1547,8
1179,【情報】5th Anniversary 人氣卡片票選公告,wl02150550,06/24,17:07,11k,29
1180,【閒聊】我一生的運氣大概都在這了,sdf251248949,06/24,15:21,286,1
1181,【問題】請問指定模式的主教在失去優花梨之後，要如何擋直傷?,J99114,06/24,14:26,6562,32
1182,【問題】google儲值問題,leo15935741,06/24,11:55,899,8
1183,本討論串已無文章,a20879604,06/24,00:42,398,9
1184,【問題】回鍋玩家 皇家牌組現環境該如何處理,buble333,06/23,18:11,3408,24
1185,本討論串已無文章,Qsft,06/22,23:24,585,5
1186,【討論】《闇黑的威爾薩》死靈法師職業相關討論串,douyarice,06/22,17:12,18k,24
1187,【閒聊】AS2p各位通常會怎麼選呢？,ian8557,06/22,06:16,2959,35
1188,【閒聊】金色皮喵太也會燒線？,Destoryfly,06/22,02:01,1564,3
1189,【閒聊】當你以為你打的是AF時...,kin12123,06/21,23:34,2946,5
